NSE/EXCELINFO,Excel Infoways Limited
NSE/PBAINFRA,PBA Infrastructure Limited
NSE/TAKE,Take Solutions Limited
NSE/TIRUMALCHM,Thirumalai Chemicals Limited
NSE/ZODJRDMKJ,Zodiac JRD- MKJ Limited
NSE/OUDHSUG,The Oudh Sugar Mills Limited
NSE/PILITA,PIL ITALICA LIFESTYLE LIMITED
NSE/PGIL,Pearl Global Industries Limited
NSE/PERSISTENT,Persistent Systems Limited
NSE/PNEUMATIC,Pneumatic Holdings Limited
NSE/QUESS,Quess Corp Limited
NSE/RAJVIR,Rajvir Industries Limited
NSE/RANASUG,Rana Sugars Limited
NSE/RELIANCE,Reliance Industries Limited
NSE/SAGCEM,Sagar Cements Limited
NSE/SANCO,Sanco Industries Limited
NSE/SADBHIN,Sadbhav Infrastructure Project Limited
NSE/SBBJ,State Bank of Bikaner and Jaipur
NSE/SFCL,Star Ferro and Cement Limited
NSE/SELAN,Selan Exploration Technology Limited
NSE/SKMEGGPROD,SKM Egg Products Export (India) Limited
NSE/SHEMAROO,Shemaroo Entertainment Limited
NSE/SIMPLEX,Simplex Projects Limited
NSE/SKIPPER,Skipper Limited
NSE/SPECIALITY,Speciality Restaurants Limited
NSE/SPCENET,Spacenet Enterprises India Limited
NSE/SURANAIND,Surana Industries Limited
NSE/TAINWALCHM,Tainwala Chemical and Plastic (I) Limited
NSE/UNIPLY,Uniply Industries Limited
NSE/VAIBHAVGBL,Vaibhav Global Limited
NSE/VAKRANGEE,VAKRANGEE LIMITED
NSE/UPERGANGES,Upper Ganges Sugar & Industries Limited
NSE/UPL,UPL Limited
NSE/VINDHYATEL,Vindhya Telelinks Limited
NSE/WELINV,Welspun Investments and Commercials Limited
NSE/VISAKAIND,Visaka Industries Limited
NSE/63MOONS,63 moons technologies limited
NSE/ASIANPAINT,Asian Paints Limited
NSE/ARCOTECH,Arcotech Limited
NSE/3MINDIA,3M India Limited
NSE/BANARBEADS,Banaras Beads Limited
NSE/BALRAMCHIN,Balrampur Chini Mills Limited
NSE/BANG,Bang Overseas Limited
NSE/BAJAJ_AUTO,Bajaj Auto Limited
NSE/BEDMUTHA,Bedmutha Industries Limited
NSE/CIMMCO,Cimmco Limited
NSE/CANDC,C & C Constructions Limited
NSE/DFMFOODS,DFM Foods Limited
NSE/EQ30,EDELAMC - EQ30
NSE/FAIRCHEM,Fairchem Speciality Limited
NSE/GEOMETRIC,Geometric Limited
NSE/GATI,GATI Limited
NSE/GOLDINFRA,Goldstone Infratech Limited
NSE/GOLDIWIN,ICICI Prudential Gold Exchange Traded Fund
NSE/GREENFIRE,Green Fire Agri Commodities Limited
NSE/GTL,GTL Limited
NSE/RMCL,Radha Madhav Corporation Limited
NSE/HNGSNGBEES,R*Shares Hang Seng BeES
NSE/INDIACEM,The India Cements Limited
NSE/JINDALPHOT,Jindal Photo Limited
NSE/JISLDVREQS,Jain Irrigation Systems Limited
NSE/KAKATCEM,Kakatiya Cement Sugar & Industries Limited
NSE/LICNETFGSC,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO
NSE/LINCPEN,Linc Pen & Plastics Limited
NSE/TIMESGTY,Times Guaranty Limited
NSE/LYCOS,Lycos Internet Limited
NSE/MAJESCO,Majesco Limited
NSE/MANPASAND,Manpasand Beverages Limited
NSE/MHRIL,Mahindra Holidays & Resorts India Limited
NSE/MONTECARLO,Monte Carlo Fashions Limited
NSE/NEXTMEDIA,Next Mediaworks Limited
NSE/MSPL,MSP Steel & Power Limited
NSE/ORIENTALTL,Oriental Trimex Limited
NSE/NILKAMAL,Nilkamal Limited
NSE/NIFTYBEES,R*Shares Nifty BeES
NSE/NOESISIND,Noesis Industries Limited
NSE/OMAXAUTO,Omax Autos Limited
NSE/PEARLPOLY,Pearl Polymers Limited
NSE/PAPERPROD,Huhtamaki PPL Limited
NSE/NIFTY100_LIQ_15,National Stock Exchange of India (NSE) Stock Index - Nifty100 LIQ 15
NSE/CNX_100,National Stock Exchange of India (NSE) Stock Index - CNX 100
NSE/NIFTY_AUTO,National Stock Exchange of India (NSE) Stock Index - Nifty Auto
NSE/CNX_MEDIA,National Stock Exchange of India (NSE) Stock Index - CNX Media
NSE/NIFTY_MEDIA,National Stock Exchange of India (NSE) Stock Index - Nifty Media
NSE/CNX_200,National Stock Exchange of India (NSE) Stock Index - CNX 200
NSE/LIX_15,National Stock Exchange of India (NSE) Stock Index - LIX 15
NSE/CNX_AUTO,National Stock Exchange of India (NSE) Stock Index - CNX Auto
NSE/NI15,National Stock Exchange of India (NSE) Stock Index - NI15
NSE/NEOCURE,Neocure Therapeutics Limited
NSE/VISHALRET,Vishal Retail Limited
NSE/TELEMARINE,Teledata Marine Solutions Limited
NSE/SUNCLAYTON,Sundaram Clayton Limited
NSE/FTCSF5YDIV,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y Dividend Option
NSE/PEPL,Pearl Engineering Polymers Limited
NSE/VIKASHMET,Vikash Metal & Power Limited
NSE/CPIL,Career Point Infosystems Limited
NSE/HGSL,Hinduja Global Solutions Limited
NSE/DEWANHOUS,Dewan Housing Finance Corporation Limited
NSE/BELLCERATL,Bell Ceramics Limited
NSE/CHEMPLAST,Chemplast Sanmar Limited
NSE/CINEMAX,Cinemax India Limited
NSE/SURAJDIAMN,Su-Raj Diamonds and Jewellery Limited
NSE/MORARJETEX,Morarjee Textiles Limited
NSE/ACKRUTI,Ackruti City Limited
NSE/FTCSF5YGRO,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y (Growth Option)
NSE/NANDAN,Nandan Exim Limited
NSE/SEZALGLASS,Sezal Glass Limited
NSE/MLL,Mercator Lines Limited
NSE/NUMERICPW,Numeric Power Systems Limited
NSE/NUCHEM,Nuchem Limited
NSE/PATNI,Patni Computer Systems Limited
NSE/SENTINEL,Sentinel Tea and Exports Limited
NSE/CRONIMET,Cronimet Alloys India Limited
NSE/IVRCLAH,IVRCL Assets & Holdings Limited
NSE/CAROLINFO,Carol Info Services Limited
NSE/ORIENTCERA,Orient Ceramics and Industries Limited
NSE/FTCPOF5YGR,Franklin Templeton Capital Protection Oriented Fund
NSE/RESURGERE,Resurgere Mines & Minerals India Limited
NSE/CORAL_HUB,Coral Hub Limited
NSE/MUNDRAPORT,Mundra Port and Special Economic Zone Limited
NSE/TEXMACOLTD,Texmaco Limited
NSE/ALPHAGEO,Alphageo (India) Limited
NSE/BALAMINES,Balaji Amines Limited
NSE/CHENNPETRO,Chennai Petroleum Corporation Limited
NSE/GEOJITFSL,Geojit Financial Services Limited
NSE/KSERASERA,KSS Limited
NSE/SREINFRA,SREI Infrastructure Finance Limited
NSE/ASTRAL,Astral Poly Technik Limited
NSE/ARCHIDPLY,Archidply Industries Limited
NSE/AMTEKAUTO,Amtek Auto Limited
NSE/CHOLAFIN,Cholamandalam Investment and Finance Company Limited
NSE/GLOBUSSPR,Globus Spirits Limited
NSE/HEG,HEG Limited
NSE/QNIFTY,Quantum Index Fund -Exchange Traded Fund (ETF)
NSE/EROSMEDIA,Eros International Media Limited
NSE/SONASTEER,Sona Koyo Steering Systems Limited
NSE/CERA,Cera Sanitaryware Limited
NSE/GOLDENTOBC,Golden Tobacco Limited
NSE/JKBANK,The Jammu & Kashmir Bank Limited
NSE/KIRIINDUS,Kiri Industries Limited
NSE/ARSHIYA,Arshiya Limited
NSE/ASTRAZEN,AstraZeneca Pharma India Limited
NSE/OMAXE,Omaxe Limited
NSE/AUROPHARMA,Aurobindo Pharma Limited
NSE/GAMMNINFRA,Gammon Infrastructure Projects Limited
NSE/RESPONIND,Responsive Industries Limited
NSE/BLISSGVS,Bliss GVS Pharma Limited
NSE/GODREJIND,Godrej Industries Limited
NSE/CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
NSE/CRISIL,CRISIL Limited
NSE/MUNJALAU,Munjal Auto Industries Limited
NSE/EIMCOELECO,Eimco Elecon (India) Limited
NSE/SHOPERSTOP,Shoppers Stop Limited
NSE/JMTAUTOLTD,JMT Auto Limited
NSE/SBIN,State Bank of India
NSE/FAGBEARING,FAG Bearings India Limited
NSE/ROLLT,Rollatainers Limited
NSE/JAYAGROGN,Jayant Agro Organics Limited
NSE/MANGTIMBER,Mangalam Timber Products Limited
NSE/SPHEREGSL,Sphere Global Services Limited
NSE/LML,LML Limited
NSE/MUKANDENGG,Mukand Engineers Limited
NSE/RELDIVOPP,Reliance MF - R*Shares Dividend Opportunities Fund - RSDOETF
NSE/RRSLGETF,RELCAPAMC - RRSLGETF
NSE/NIFTY_MIDCAP_50,National Stock Exchange of India (NSE) Stock Index - Nifty Midcap 50
NSE/SGJHL,SHREE GANESH JEWELLERY HOUSE (I) LIMITED
NSE/ARVINFRA,Arvind Infrastructure Limited
NSE/PRICOL,Pricol Limited
NSE/ABGSHIP,ABG Shipyard Limited
NSE/ADI,Adi Finechem Limited
NSE/ARIHANT,Arihant Foundations & Housing Limited
NSE/ATNINTER,ATN International Limited
NSE/CINEVISTA,Cinevista Limited
NSE/MAXWELL,Maxwell Industries Limited
NSE/MANAKALUCO,Manaksia Aluminium Company Limited
NSE/RASOYPR,Rasoya Proteins Limited
NSE/SUJANATWR,Sujana Tower Limited
NSE/UVSL,Uttam Value Steels Limited
NSE/CNX_BANK,National Stock Exchange of India (NSE) Stock Index - CNX Bank
NSE/NIFTY_LOW_VOLATILITY_50,National Stock Exchange of India (NSE) Stock Index - Nifty Low Volatility 50
NSE/NIFTY_100,National Stock Exchange of India (NSE) Stock Index - Nifty 100
NSE/CNX_IT,National Stock Exchange of India (NSE) Stock Index - CNX IT
NSE/CNX_100_EQUAL_WEIGHT,National Stock Exchange of India (NSE) Stock Index - CNX 100 Equal Weight
NSE/CNX_SHARIAH25,National Stock Exchange of India (NSE) Stock Index - CNX Shariah25
NSE/NIFTY50_DIV_POINT,National Stock Exchange of India (NSE) Stock Index - Nifty50 Dividend Points
NSE/CNX_NIFTY_SHARIAH,National Stock Exchange of India (NSE) Stock Index - CNX Nifty Shariah
NSE/NIFTY_DIV_OPPS_50,National Stock Exchange of India (NSE) Stock Index - Nifty Dividend Opportunities 50
NSE/ALLCARGO,Allcargo Logistics Limited
NSE/ABAN,Aban Offshore Limited
NSE/BANKBARODA,Bank of Baroda
NSE/BIRLAMONEY,Aditya Birla Money Limited
NSE/ADFFOODS,ADF Foods Limited
NSE/ADHUNIK,Adhunik Metaliks Limited
NSE/AMDIND,AMD Industries Limited
NSE/ABFRL,Aditya Birla Fashion and Retail Limited
NSE/ASTEC,Astec LifeSciences Limited
NSE/APLAPOLLO,APL Apollo Tubes Limited
NSE/ASTRAMICRO,Astra Microwave Products Limited
NSE/AMRUTANJAN,Amrutanjan Health Care Limited
NSE/ARVSMART,Arvind SmartSpaces Limited
NSE/ALICON,Alicon Castalloy Limited
NSE/AHLUCONT,Ahluwalia Contracts (India) Limited
NSE/APOLLOHOSP,Apollo Hospitals Enterprise Limited
NSE/ANDHRABANK,Andhra Bank
NSE/ACCELYA,Accelya Kale Solutions Limited
NSE/ASHIANA,Ashiana Housing Limited
NSE/BAFNAPHARM,Bafna Pharmaceuticals Limited
NSE/ADANITRANS,Adani Transmission Limited
NSE/ATLANTA,Atlanta Limited
NSE/BAJAJELEC,Bajaj Electricals Limited
NSE/BHUSANSTL,Bhushan Steel Limited
NSE/CARBORUNIV,Carborundum Universal Limited
NSE/ALANKIT,Alankit Limited
NSE/BBTC,Bombay Burmah Trading Corporation Limited
NSE/CCCL,Consolidated Construction Consortium Limited
NSE/AUTOAXLES,Automotive Axles Limited
NSE/BERGEPAINT,Berger Paints (I) Limited
NSE/CANTABIL,Cantabil Retail India Limited
NSE/BYKE,The Byke Hospitality Ltd
NSE/COLPAL,Colgate Palmolive (India) Limited
NSE/DICIND,DIC India Limited
NSE/ASHAPURMIN,Ashapura Minechem Limited
NSE/BHARATGEAR,Bharat Gears Limited
NSE/BLKASHYAP,B. L. Kashyap and Sons Limited
NSE/ALKYLAMINE,Alkyl Amines Chemicals Limited
NSE/AIFL,Ashapura Intimates Fashion Limited
NSE/CASTEXTECH,Castex Technologies Limited
NSE/DMART,Avenue Supermarts Limited
NSE/ABB,ABB India Limited
NSE/ALBK,Allahabad Bank
NSE/APCL,Anjani Portland Cement Limited
NSE/ALKALI,Alkali Metals Limited
NSE/BALKRISHNA,Balkrishna Paper Mills Limited
NSE/BIRLACORPN,Birla Corporation Limited
NSE/CONSOFINVT,Consolidated Finvest & Holdings Limited
NSE/ECLERX,eClerx Services Limited
NSE/BALAJITELE,Balaji Telefilms Limited
NSE/ARIHANTSUP,Arihant Superstructures Limited
NSE/AUTOLITIND,Autolite (India) Limited
NSE/BHAGERIA,Bhageria Industries Limited
NSE/CGCL,Capri Global Capital Limited
NSE/DABUR,Dabur India Limited
NSE/APARINDS,Apar Industries Limited
NSE/ASHOKLEY,Ashok Leyland Limited
NSE/BAJAJCORP,Bajaj Corp Limited
NSE/APLLTD,Alembic Pharmaceuticals Limited
NSE/BIGBLOC,Bigbloc Construction Limited
NSE/BSLIMITED,BS LIMITED
NSE/CEREBRAINT,Cerebra Integrated Technologies Limited
NSE/COXKINGS,Cox & Kings Limited
NSE/BANKBEES,R*Shares Bank BeES
NSE/ATUL,Atul Limited
NSE/BALMLAWRIE,Balmer Lawrie & Company Limited
NSE/BPCL,Bharat Petroleum Corporation Limited
NSE/CELESTIAL,Celestial Biolabs Limited
NSE/AVTNPL,AVT Natural Products Limited
NSE/BASF,BASF India Limited
NSE/BOMDYEING,Bombay Dyeing & Mfg Company Limited
NSE/CAREERP,Career Point Limited
NSE/BPL,BPL Limited
NSE/CENTENKA,Century Enka Limited
NSE/BHARATFORG,Bharat Forge Limited
NSE/BHARATFIN,Bharat Financial Inclusion Limited
NSE/DHANUKA,Dhanuka Agritech Limited
NSE/BFINVEST,BF Investment Limited
NSE/BODALCHEM,Bodal Chemicals Limited
NSE/CENTEXT,Century Extrusions Limited
NSE/BHANDARI,Bhandari Hosiery Exports Limited
NSE/BEL,Bharat Electronics Limited
NSE/BRFL,Bombay Rayon Fashions Limited
NSE/COROMANDEL,Coromandel International Limited
NSE/EIHAHOTELS,EIH Associated Hotels Limited
NSE/CELEBRITY,Celebrity Fashions Limited
NSE/DATAMATICS,Datamatics Global Services Limited
NSE/CAPTRUST,Capital Trust Limited
NSE/DENABANK,Dena Bank
NSE/CENTURYTEX,Century Textiles & Industries Limited
NSE/GSFC,Gujarat State Fertilizers & Chemicals Limited
NSE/HCC,Hindustan Construction Company Limited
NSE/CADILAHC,Cadila Healthcare Limited
NSE/CMICABLES,CMI Limited
NSE/DUCON,Ducon Infratechnologies Limited
NSE/GABRIEL,Gabriel India Limited
NSE/HDFC,Housing Development Finance Corporation Limited
NSE/DISHMAN,Dishman Pharmaceuticals and Chemicals Limited
NSE/DSKULKARNI,DS Kulkarni Developers Limited
NSE/DEEPIND,Deep Industries Limited
NSE/ELGIRUBCO,Elgi Rubber Company Limited
NSE/DHANBANK,Dhanlaxmi Bank Limited
NSE/FDC,FDC Limited
NSE/GODREJCP,Godrej Consumer Products Limited
NSE/HDFCBANK,HDFC Bank Limited
NSE/HINDMOTORS,Hindustan Motors Limited
NSE/DHFL,Dewan Housing Finance Corporation Limited
NSE/EDUCOMP,Educomp Solutions Limited
NSE/CIPLA,Cipla Limited
NSE/ENERGYDEV,Energy Development Company Limited
NSE/EVEREADY,Eveready Industries India Limited
NSE/FEDDERLOYD,Fedders Lloyd Corporation Limited
NSE/DELTACORP,Delta Corp Limited
NSE/ENGINERSIN,Engineers India Limited
NSE/FSL,Firstsource Solutions Limited
NSE/DHARSUGAR,Dharani Sugars & Chemicals Limited
NSE/GALLANTT,Gallantt Metal Limited
NSE/GOCLCORP,GOCL Corporation Limited
NSE/DECCANCE,Deccan Cements Limited
NSE/ESSARSHPNG,Essar Shipping Limited
NSE/GRPLTD,GRP Limited
NSE/HATSUN,Hatsun Agro Product Limited
NSE/DCBBANK,DCB BANK LIMITED
NSE/EON,Eon Electric Limited
NSE/GEMINI,Gemini Communication Limited
NSE/GNA,GNA Axles Limited
NSE/GPTINFRA,GPT Infraprojects Limited
NSE/HINDOILEXP,Hindustan Oil Exploration Company Limited
NSE/IOLCP,IOL Chemicals and Pharmaceuticals Limited
NSE/GKWLIMITED,GKW Limited
NSE/HEIDELBERG,HeidelbergCement India Limited
NSE/GARDENSILK,Garden Silk Mills Limited
NSE/GMDCLTD,Gujarat Mineral Development Corporation Limited
NSE/HATHWAY,Hathway Cable & Datacom Limited
NSE/ENIL,Entertainment Network (India) Limited
NSE/GAIL,GAIL (India) Limited
NSE/GODFRYPHLP,Godfrey Phillips India Limited
NSE/GRAVITA,Gravita India Limited
NSE/GULPOLY,Gulshan Polyols Limited
NSE/HONDAPOWER,Honda Siel Power Products Limited
NSE/FLEXITUFF,Flexituff International Limited
NSE/GENUSPOWER,Genus Power Infrastructures Limited
NSE/HEROMOTOCO,Hero MotoCorp Limited
NSE/HSIL,HSIL Limited
NSE/GEPIL,GE Power India Limited
NSE/HMVL,Hindustan Media Ventures Limited
NSE/GRANULES,Granules India Limited
NSE/IBWSL,Indiabulls Wholesale Services Limited
NSE/FCONSUMER,FUTURE CONSUMER LIMITED
NSE/GENESYS,Genesys International Corporation Limited
NSE/GULFOILLUB,Gulf Oil Lubricants India Limited
NSE/IFGLREFRAC,IFGL Refractories Limited
NSE/FELDVR,Future Enterprises Limited
NSE/GICHSGFIN,GIC Housing Finance Limited
NSE/FILATEX,Filatex India Limited
NSE/GMRINFRA,GMR Infrastructure Limited
NSE/GUJGASLTD,Gujarat Gas Limited
NSE/IMFA,Indian Metals & Ferro Alloys Limited
NSE/EMCO,Emco Limited
NSE/FMNL,Future Market Networks Limited
NSE/GRINDWELL,Grindwell Norton Limited
NSE/HDFCNIFETF,HDFCAMC - HDFCNIFETF
NSE/HITECHPLAS,Hitech Plast Limited
NSE/GSPL,Gujarat State Petronet Limited
NSE/HINDUJAVEN,Hinduja Ventures Limited
NSE/HBLPOWER,HBL Power Systems Limited
NSE/GDL,Gateway Distriparks Limited
NSE/GOKUL,Gokul Refoils and Solvent Limited
NSE/GULFPETRO,GP Petroleums Limited
NSE/HILTON,Hilton Metal Forging Limited
NSE/HINDUNILVR,Hindustan Unilever Limited
NSE/HEXAWARE,Hexaware Technologies Limited
NSE/INDBANK,Indbank Merchant Banking Services Limited
NSE/GEECEE,GeeCee Ventures Limited
NSE/GOKEX,Gokaldas Exports Limited
NSE/GREENPLY,Greenply Industries Limited
NSE/IFCI,IFCI Limited
NSE/INFIBEAM,Infibeam Incorporation Limited
NSE/IVZINGOLD,Invesco India Gold Exchange Traded Fund
NSE/GILLANDERS,Gillanders Arbuthnot & Company Limited
NSE/GOACARBON,Goa Carbon Limited
NSE/GRAPHITE,Graphite India Limited
NSE/GUJNRECOKE,Gujarat NRE Coke Limited
NSE/GOLDIAM,Goldiam International Limited
NSE/GUFICBIO,Gufic Biosciences Limited
NSE/HCL_INSYS,HCL Infosystems Limited
NSE/GTNTEX,GTN Textiles Limited
NSE/HDIL,Housing Development and Infrastructure Limited
NSE/HONAUT,Honeywell Automation India Limited
NSE/IBVENTURES,Indiabulls Ventures Limited
NSE/INDLMETER,IMP Powers Limited
NSE/JUBLFOOD,Jubilant Foodworks Limited
NSE/KAYA,Kaya Limited
NSE/HCLTECH,HCL Technologies Limited
NSE/HINDNATGLS,Hindusthan National Glass & Industries Limited
NSE/INDIAGLYCO,India Glycols Limited
NSE/HESTERBIO,Hester Biosciences Limited
NSE/INDHOTEL,The Indian Hotels Company Limited
NSE/KGL,Karuturi Global Limited
NSE/KOTAKBANK,Kotak Mahindra Bank Limited
NSE/IBREALEST,Indiabulls Real Estate Limited
NSE/INDIANCARD,Indian Card Clothing Company Limited
NSE/INTELLECT,Intellect Design Arena Limited
NSE/IDBI,IDBI Bank Limited
NSE/INDIANHUME,Indian Hume Pipe Company Limited
NSE/INSECTICID,Insecticides (India) Limited
NSE/ICICIPRULI,ICICI Prudential Life Insurance Company Limited
NSE/INDRAMEDCO,Indraprastha Medical Corporation Limited
NSE/ITC,ITC Limited
NSE/INDOTECH,Indo Tech Transformers Limited
NSE/JINDCOT,Jindal Cotex Limited
NSE/LT,Larsen & Toubro Limited
NSE/HOCL,Hindustan Organic Chemicals Limited
NSE/ILFSENGG,IL&FS Engineering and Construction Company Limited
NSE/INFRABEES,R*Shares Infra BeES
NSE/IVRCLINFRA,IVRCL Limited
NSE/JSLHISAR,Jindal Stainless (Hisar) Limited
NSE/IITL,Industrial Investment Trust Limited
NSE/INFY,Infosys Limited
NSE/IMPAL,India Motor Parts and Accessories Limited
NSE/KANSAINER,Kansai Nerolac Paints Limited
NSE/M100,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO
NSE/MARUTI,Maruti Suzuki India Limited
NSE/INOXWIND,Inox Wind Limited
NSE/JAIBALAJI,Jai Balaji Industries Limited
NSE/INDSWFTLAB,Ind-Swift Laboratories Limited
NSE/ITI,ITI Limited
NSE/JHS,JHS Svendgaard Laboratories Limited
NSE/INGERRAND,Ingersoll Rand (India) Limited
NSE/KIRLOSBROS,Kirloskar Brothers Limited
NSE/LICHSGFIN,LIC Housing Finance Limited
NSE/MFSL,Max Financial Services Limited
NSE/INDTERRAIN,Indian Terrain Fashions Limited
NSE/ISMTLTD,ISMT Limited
NSE/JBMA,JBM Auto Limited
NSE/JSWENERGY,JSW Energy Limited
NSE/JSWSTEEL,JSW Steel Limited
NSE/KOTAKNIFTY,Kotak Mahindra Mutual Fund-Kotak Nifty ETF
NSE/LICNFNHGP,LICNAMC - LICNFNHGP
NSE/MONNETISPA,Monnet Ispat and Energy Limited
NSE/IVP,IVP Limited
NSE/KHANDSE,Khandwala Securities Limited
NSE/MAHASTEEL,Mahamaya Steel Industries Limited
NSE/MIRCELECTR,MIRC Electronics Limited
NSE/INOXLEISUR,INOX Leisure Limited
NSE/JAGRAN,Jagran Prakashan Limited
NSE/KANORICHEM,Kanoria Chemicals & Industries Limited
NSE/MAANALU,Maan Aluminium Limited
NSE/KARURVYSYA,Karur Vysya Bank Limited
NSE/JSWHL,JSW Holdings Limited
NSE/KOLTEPATIL,Kolte - Patil Developers Limited
NSE/LICNETFN50,LICNAMC - LICNFENGP
NSE/MENONBE,Menon Bearings Limited
NSE/JUBLINDS,Jubilant Industries Limited
NSE/KCP,KCP Limited
NSE/KPRMILL,K.P.R. Mill Limited
NSE/MANINDS,Man Industries (India) Limited
NSE/IVC,IL&FS Investment Managers Limited
NSE/JKIL,J.Kumar Infraprojects Limited
NSE/LUMAXIND,Lumax Industries Limited
NSE/KAJARIACER,Kajaria Ceramics Limited
NSE/KOTAKPSUBK,Kotak Mahindra Mutual Fund
NSE/LTTS,L&T Technology Services Limited
NSE/JMA,Jullundur Motor Agency (Delhi) Limited
NSE/KICL,Kalyani Investment Company Limited
NSE/LUPIN,Lupin Limited
NSE/JAMNAAUTO,Jamna Auto Industries Limited
NSE/JPASSOCIAT,Jaiprakash Associates Limited
NSE/KOTAKGOLD,Kotak Mutual Fund - Gold Exchange Traded Fund
NSE/LGBBROSLTD,LG Balakrishnan & Bros Limited
NSE/KSK,KSK Energy Ventures Limited
NSE/MAHINDCIE,Mahindra CIE Automotive Limited
NSE/KIRLOSENG,Kirloskar Oil Engines Limited
NSE/KTIL,Kesar Terminals & Infrastructure Limited
NSE/MAITHANALL,Maithan Alloys Limited
NSE/KAMATHOTEL,Kamat Hotels (I) Limited
NSE/LAKSHMIEFL,Lakshmi Energy and Foods Limited
NSE/LAKSHVILAS,Lakshmi Vilas Bank Limited
NSE/LPDC,Landmark Property Development Company Limited
NSE/MANINFRA,Man Infraconstruction Limited
NSE/JSL,Jindal Stainless Limited
NSE/LAOPALA,La Opala RG Limited
NSE/LUMAXTECH,Lumax Auto Technologies Limited
NSE/MANAKCOAT,Manaksia Coated Metals & Industries Limited
NSE/MMFIN,Mahindra & Mahindra Financial Services Limited
NSE/NCLIND,NCL Industries Limited
NSE/KPIT,KPIT Technologies Limited
NSE/M50,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF
NSE/MERCK,Merck Limited
NSE/KESORAMIND,Kesoram Industries Limited
NSE/MADHUCON,Madhucon Projects Limited
NSE/MANGLMCEM,Mangalam Cement Limited
NSE/MINDTREE,MindTree Limited
NSE/KWALITY,kwality limited
NSE/LLOYDELENG,Lloyd Electric & Engineering Limited
NSE/MANAKINDST,Manaksia Industries Limited
NSE/MINDTECK,Mindteck (India) Limited
NSE/LSIL,Lloyds Steels Industries Limited
NSE/KSCL,Kaveri Seed Company Limited
NSE/LINCOLN,Lincoln Pharmaceuticals Limited
NSE/ORIENTCEM,Orient Cement Limited
NSE/LTFH,L&T Finance Holdings Limited
NSE/NDL,Nandan Denim Limited
NSE/KOTHARIPRO,Kothari Products Limited
NSE/LINDEINDIA,Linde India Limited
NSE/MPSLTD,MPS Limited
NSE/NATIONALUM,National Aluminium Company Limited
NSE/NIFTYIWIN,ICICI Prudential Nifty Exchange Traded Fund
NSE/MINDACORP,Minda Corporation Limited
NSE/MORARJEE,Morarjee Textiles Limited
NSE/MCX,Multi Commodity Exchange of India Limited
NSE/MONSANTO,Monsanto India Limited
NSE/MANGALAM,Mangalam Drugs And Organics Limited
NSE/MCLEODRUSS,Mcleod Russel India Limited
NSE/NAGREEKEXP,Nagreeka Exports Limited
NSE/MALUPAPER,Malu Paper Mills Limited
NSE/MARKSANS,Marksans Pharma Limited
NSE/MGL,Mahanagar Gas Limited
NSE/MUKANDLTD,Mukand Limited
NSE/NAGREEKCAP,Nagreeka Capital & Infrastructure Limited
NSE/MARATHON,Marathon Nextgen Realty Limited
NSE/MOSERBAER,Moser-Baer (I) Limited
NSE/MANUGRAPH,Manugraph India Limited
NSE/NMDC,NMDC Limited
NSE/ORICONENT,Oricon Enterprises Limited
NSE/PENIND,Pennar Industries Limited
NSE/PRAENG,Prajay Engineers Syndicate Limited
NSE/MOHITIND,Mohit Industries Limited
NSE/PDUMJEIND,Pudumjee Industries Limited
NSE/RAIREKMOH,Raisaheb Reckhchand Mohota Spinning & Weaving Mills Limited
NSE/MOLDTKPAC,Mold-Tek Packaging Limited
NSE/NAGAAGRI,Nagarjuna Agrichem Limited
NSE/NELCAST,Nelcast Limited
NSE/NTPC,NTPC Limited
NSE/MUKTAARTS,Mukta Arts Limited
NSE/NIBL,NRB Industrial Bearings Limited
NSE/NIPPOBATRY,Indo-National Limited
NSE/PDSMFL,PDS Multinational Fashions Limited
NSE/POWERGRID,Power Grid Corporation of India Limited
NSE/RSYSTEMS,R Systems International Limited
NSE/MPHASIS,MphasiS Limited
NSE/NECLIFE,Nectar Lifesciences Limited
NSE/ONELIFECAP,Onelife Capital Advisors Limited
NSE/PATINTLOG,Patel Integrated Logistics Limited
NSE/PNBGILTS,PNB Gilts Limited
NSE/PDUMJEPULP,Pudumjee Pulp & Paper Mills Limited
NSE/NKIND,NK Industries Limited
NSE/PANAMAPET,Panama Petrochem Limited
NSE/NATHBIOGEN,Nath Bio-Genes (India) Limited
NSE/NTL,Neueon Towers Limited
NSE/NAVKARCORP,Navkar Corporation Limited
NSE/NILAINFRA,Nila Infrastructures Limited
NSE/PARSVNATH,Parsvnath Developers Limited
NSE/NAVNETEDUL,Navneet Education Limited
NSE/NUTEK,Nu Tek India Limited
NSE/PARAGMILK,Parag Milk Foods Limited
NSE/POWERMECH,Power Mech Projects Limited
NSE/PSL,PSL Limited
NSE/ONGC,Oil & Natural Gas Corporation Limited
NSE/ORIENTLTD,Orient Press Limited
NSE/PCJEWELLER,PC Jeweller Limited
NSE/NELCO,NELCO Limited
NSE/NOCIL,NOCIL Limited
